experiment_id,parent_experiment_id,source_type,augmentation_id,damage_level,damage_class,stress_mpa,stress_class,num_samples,depth_min_cm,depth_max_cm,depth_step_mean_cm,torque_mean,torque_std,torque_min,torque_max,thrust_mean,thrust_std,thrust_min,thrust_max,missing_torque_count,missing_thrust_count,duplicate_depth_count,is_complete,source_file,source_sheet,split,flagged_points
D00_S00,D00_S00,original,0,0,0,0,0,1501,0.0,25.0,0.016666666666666666,36.066232978014654,25.586180714222767,8.0,144.042,2.224616095936043,0.07924345699308423,2.07189,2.64326,0,0,0,True,受载完整煤体钻进参数—扭矩.xlsx; 受载完整煤体钻进参数—推力.xlsx,曲线数据_1501点,val,54
D00_S00_AUG1,D00_S00,synthetic,1,0,0,0,0,1501,0.0,25.0,0.016666666666666666,36.72258911059294,20.80161879639789,0.0,135.066058,2.229844664890073,0.06179621179703731,2.070519,2.482428,0,0,0,True,processed_dataset\augmented_dataset_25classes_2batches\synthetic_by_experiment\D00_S00_AUG1.csv,,train,15
D00_S00_AUG2,D00_S00,synthetic,2,0,0,0,0,1501,0.0,25.0,0.016666666666666666,36.96321195003331,20.5618888486859,0.0,116.996999,2.2198330326449036,0.06514993601514074,2.061888,2.456633,0,0,0,True,processed_dataset\augmented_dataset_25classes_2batches\synthetic_by_experiment\D00_S00_AUG2.csv,,train,3
D00_S10,D00_S10,original,0,0,0,10,1,1501,0.0,25.0,0.016666666666666666,33.239076215856095,21.154287790913074,11.2221,133.5737,2.488206988674217,0.1103340229176501,2.26629,2.92515,0,0,0,True,受载完整煤体钻进参数—扭矩.xlsx; 受载完整煤体钻进参数—推力.xlsx,曲线数据_1501点,val,118
D00_S10_AUG1,D00_S10,synthetic,1,0,0,10,1,1501,0.0,25.0,0.016666666666666666,32.41043818254497,12.462993465467733,0.0,87.784951,2.488848564290473,0.08343776630892051,2.264685,2.923074,0,0,0,True,processed_dataset\augmented_dataset_25classes_2batches\synthetic_by_experiment\D00_S10_AUG1.csv,,train,16
D00_S10_AUG2,D00_S10,synthetic,2,0,0,10,1,1501,0.0,25.0,0.016666666666666666,34.403814135243174,16.06588497761822,0.0,153.356531,2.4975307101932045,0.08431390458273152,2.244408,2.870868,0,0,0,True,processed_dataset\augmented_dataset_25classes_2batches\synthetic_by_experiment\D00_S10_AUG2.csv,,train,45
D00_S20,D00_S20,original,0,0,0,20,2,1501,0.0,25.0,0.016666666666666666,48.98284310459693,20.454761570848667,17.6919,141.1804,2.7755324383744164,0.1598117682681213,2.41229,3.21412,0,0,0,True,受载完整煤体钻进参数—扭矩.xlsx; 受载完整煤体钻进参数—推力.xlsx,曲线数据_1501点,val,0
D00_S20_AUG1,D00_S20,synthetic,1,0,0,20,2,1501,0.0,25.0,0.016666666666666666,49.20510459427049,16.42403670631043,0.0,113.61593,2.779729940706196,0.15621591982526348,2.433684,3.211726,0,0,0,True,processed_dataset\augmented_dataset_25classes_2batches\synthetic_by_experiment\D00_S20_AUG1.csv,,train,0
D00_S20_AUG2,D00_S20,synthetic,2,0,0,20,2,1501,0.0,25.0,0.016666666666666666,49.15123144437042,16.070652991040433,8.693989,109.531628,2.7668651698867417,0.14457213399637722,2.410546,3.102004,0,0,0,True,processed_dataset\augmented_dataset_25classes_2batches\synthetic_by_experiment\D00_S20_AUG2.csv,,train,0
D00_S30,D00_S30,original,0,0,0,30,3,1501,0.0,25.0,0.016666666666666666,63.7249055296469,25.02261858988522,32.2712,168.2755,3.4484456229180545,0.16555007394248336,3.15206,3.97564,0,0,0,True,受载完整煤体钻进参数—扭矩.xlsx; 受载完整煤体钻进参数—推力.xlsx,曲线数据_1501点,val,33
D00_S30_AUG1,D00_S30,synthetic,1,0,0,30,3,1501,0.0,25.0,0.016666666666666666,62.509243363091265,20.99232113564713,22.958598,164.866774,3.4505154736842107,0.15574450339556814,3.16059,3.991703,0,0,0,True,processed_dataset\augmented_dataset_25classes_2batches\synthetic_by_experiment\D00_S30_AUG1.csv,,train,34
D00_S30_AUG2,D00_S30,synthetic,2,0,0,30,3,1501,0.0,25.0,0.016666666666666666,63.437403918720854,22.35042716035602,14.020439,169.028878,3.448433214523651,0.14994498982660479,3.069702,4.179157,0,0,0,True,processed_dataset\augmented_dataset_25classes_2batches\synthetic_by_experiment\D00_S30_AUG2.csv,,train,13
D00_S40,D00_S40,original,0,0,0,40,4,1501,0.0,25.0,0.016666666666666666,101.17243184543639,29.56879099850897,48.0729,240.0348,4.388901499000666,0.16893840522850778,4.04967,4.88497,0,0,0,True,受载完整煤体钻进参数—扭矩.xlsx; 受载完整煤体钻进参数—推力.xlsx,曲线数据_1501点,val,3
